date,wood,tweet,article-url,article-headline,image-url
2018-02-22,He spoke about background checks. He spoke about mental illness. He spoke about arming teachers. But he never mentioned a word about the 300 million guns flooding our streets. Wonder why?,https://twitter.com/NYDailyNews/status/966480114744807424,http://www.nydailynews.com/opinion/hear-cries-school-shooting-victims-families-article-1.3834387,"Hear their cries: Trump and Congress must attack the school shooting crisis from all angles, including access to guns",https://pbs.twimg.com/media/DWmgOkgV4AArIrU.jpg
2018-02-23,"We are here to teach life, not take one",https://twitter.com/NYDailyNews/status/966858503158747136,http://www.nydailynews.com/news/national/educators-tear-trump-plan-teachers-pack-guns-article-1.3836640,"Trump’s plan for teachers to pack guns is crazy, will only cause more violence, educators say",https://pbs.twimg.com/media/DWr38JIX4AELZkT.jpg
2018-02-24,,,,,
2018-02-25,,,,,
2018-02-26,TRAINING DAZE,https://twitter.com/NYDailyNews/status/967984544304463872,http://www.nydailynews.com/new-york/veteran-transit-workers-mta-isn-training-new-hires-properly-article-1.3841534,Veteran transit workers say MTA isn't training new hires properly — leading to frequent flubs,https://pbs.twimg.com/media/DW74y3HVoAAlq06.jpg
2018-02-27,HABEAS COITUS,https://twitter.com/NYDailyNews/status/968318567874744321,http://www.nydailynews.com/new-york/bronx/bronx-da-office-overrun-sex-booze-fights-crime-analyst-article-1.3843273,"Bronx DA’s office overrun with sex, booze and fights, employee says",https://pbs.twimg.com/media/DXAocPuVwAA91eR.jpg
2018-02-28,NYPD DOOBIE TRAP,https://twitter.com/NYDailyNews/status/968675421947662336,http://www.nydailynews.com/new-york/nypd-claim-911-gripes-lead-pot-arrests-wrong-article-1.3845656,New data raises doubt on NYPD’s claim that 911 gripes lead to pot arrests amid racial gap criticism,https://pbs.twimg.com/media/DXFsTWXX4AAYbRx.jpg
2018-03-01,GRAB THEM BY THE PISTOL!,https://twitter.com/NYDailyNews/status/968980846836355073,http://www.nydailynews.com/news/politics/trump-breaks-gop-nra-calls-beautiful-gun-conrol-article-1.3847485,"President Trump breaks with Republicans and the NRA, calls for 'strong' and ‘beautiful’ gun control bill",https://pbs.twimg.com/media/DXKCOQEWAAAEijY.jpg
2018-03-02,SCHOOLS CANCELER!,https://twitter.com/NYDailyNews/status/969402467648761856,http://www.nydailynews.com/new-york/education/miami-education-chief-rejects-mayor-de-blasio-job-offer-article-1.3849025,Miami education chief Alberto Carvalho declines Mayor de Blasio's job offer in drama-filled meeting,https://pbs.twimg.com/media/DXQCYz4WAAEWvbP.jpg
2018-03-03,PRAYERS FOR RUSTY,https://twitter.com/NYDailyNews/status/969762764708249600,http://www.nydailynews.com/sports/baseball/mets/rusty-staub-failing-health-mets-teammates-prayers-article-1.3851489,"Rusty Staub, Mets icon who has devoted life to NYPD and FDNY widows and children, needs our prayers",https://pbs.twimg.com/media/DXVJbFXX4AAoJNP.jpg
2018-03-04,SUBWAY PERV SCOURGE,https://twitter.com/NYDailyNews/status/970103231010496513,http://www.nydailynews.com/new-york/city-dealing-serial-subway-perverts-article-1.3853377,How NYC is dealing with the growing number of serial subway perverts,https://pbs.twimg.com/media/DXZ_vpQXkAEoIsN.jpg
2018-03-05,BAG TO THE FUTURE,https://twitter.com/NYDailyNews/status/970495066400804871,http://www.nydailynews.com/new-york/de-blasio-renews-call-plastic-bag-ban-article-1.3854558,De Blasio renews call for plastic bag ban: ‘The state is behind the curve here’,https://pbs.twimg.com/media/DXfkBBhXcAA34Mv.jpg
2018-03-06,PARK SLOPE HORROR,https://twitter.com/NYDailyNews/status/970873944629743622,http://www.nydailynews.com/new-york/brooklyn/woman-2-kids-critically-injured-struck-brooklyn-article-1.3856749,"Brooklyn driver runs red light, kills two children, ages 4 and 1 — 'It was something you see in a horror movie'",https://pbs.twimg.com/media/DXk8oGIXkAAlYSE.jpg
2018-03-07,Why was she allowed to drive?,https://twitter.com/NYDailyNews/status/971207205876793344,www.nydailynews.com/new-york/brooklyn/protesters-demand-speeding-crackdown-kids-die-crash-article-1.3858725,Driver has license suspended day after killing two kids in Park Slope while supposedly suffering seizure,https://pbs.twimg.com/media/DXprfUKWAAENxjl.jpg
2018-03-08,HEAD OF THE CRASS,https://twitter.com/NYDailyNews/status/971572310464483328,http://www.nydailynews.com/new-york/education/nyc-schools-boss-choice-accused-ruining-educator-career-article-1.3862152,City schools chancellor pick derailed educator’s career because she called him out for flirting at work conference: lawsuit,https://pbs.twimg.com/media/DXu3goQXkAAC3VH.jpg
2018-03-09,"ANY HEAT YOU CAN FIX, I CAN FIX BETTER. I CAN FIX ANY HEAT BETTER THAN YOU.",https://twitter.com/NYDailyNews/status/971934578842718208,http://www.nydailynews.com/news/politics/de-blasio-rev-nycha-repairs-cuomo-announcement-article-1.3862913,Mayor de Blasio realizes he can speed up repairs on NYCHA heaters and boilers after Gov. Cuomo declares emergency,https://pbs.twimg.com/media/DX0BPbVX0Aoc4se.jpg
2018-03-10,FACTS MADE SIMPLE,https://twitter.com/NYDailyNews/status/972291715527856130,http://www.nydailynews.com/news/politics/de-blasio-rejects-bias-allegations-new-schools-chancellor-article-1.3866010,De Blasio rejects sex discrimination allegations against new schools chancellor Richard Carranza after $75G settlement,https://pbs.twimg.com/media/DX5GJa5XcAABw0L.jpg
2018-03-11,,,,,
2018-03-12,FIRE 'EM!,https://twitter.com/NYDailyNews/status/973016661912686592,http://www.nydailynews.com/news/politics/cuomo-unleash-ad-attack-7-nra-backed-n-y-pols-article-1.3868797,LOVETT: Cuomo to unleash ad attack against 7 NRA-backed N.Y. pols while touting state’s tough gun laws,https://pbs.twimg.com/media/DYDZcM8U8AEF7Wm.jpg
2018-03-13,DEATH TRAP,https://twitter.com/NYDailyNews/status/973360428972638209,http://www.nydailynews.com/new-york/manhattan/journalist-tourists-dead-east-river-helicopter-crash-article-1.3869869,"Helicopter pilot says loose gear may have hit lever to cut off engine, causing deadly East River crash",https://pbs.twimg.com/media/DYIRsZXWAAEj7hw.jpg
2018-03-14,SECRETS OF THE BLUE LINE,https://twitter.com/NYDailyNews/status/973739814087426049,http://www.nydailynews.com/new-york/documents-shed-light-nypd-secretive-disciplinary-process-article-1.3872914,Internal documents shed light on police discipline as NYPD faces criticism over secrecy behind penalties given to cops,https://pbs.twimg.com/media/DYNrLdJW4AMmjee.jpg
2018-03-15,MURDERED BY DADDY,https://twitter.com/NYDailyNews/status/974099265797738497,http://www.nydailynews.com/new-york/nyc-crime/fatally-shot-brownsville-apartment-including-child-article-1.3873611,"Man kills his 1-year-old daughter, stepdad and half-brother in Brooklyn home before shooting himself",https://pbs.twimg.com/media/DYSx3J2W4AIiAJz.jpg
2018-03-16,WON'T LET THEM DIE IN VAIN,https://twitter.com/NYDailyNews/status/974463947138064385,http://www.nydailynews.com/news/politics/de-blasio-proposes-big-penalties-problem-drivers-article-1.3876526,"In wake of deadly Park Slope crash, de Blasio proposes suspending problem drivers’ vehicle registrations",https://pbs.twimg.com/media/DYX9yeeVAAEtcv7.jpg
2018-03-17,TRUMP'S 'WAR ON THE FBI',https://twitter.com/NYDailyNews/status/974877896849403904,http://www.nydailynews.com/news/politics/jeff-sessions-fires-deputy-fbi-chief-andrew-mccabe-article-1.3879665,Jeff Sessions fires deputy FBI chief Andrew McCabe,https://pbs.twimg.com/media/DYd2RDZUMAEaQhd.jpg
2018-03-18,,,,,
2018-03-19,MENACE FOR HIRE,https://twitter.com/NYDailyNews/status/975546046280622080,http://www.nydailynews.com/new-york/menacing-cabbies-driving-traffic-violations-article-1.3882839,Menacing for-hire cabbies still driving despite dozens of red-light or speed camera tickets,https://pbs.twimg.com/media/DYnV68iU0AAK5Wj.jpg
2018-03-20,MIRANDA WARNING,https://twitter.com/NYDailyNews/status/975908006352379905,http://www.nydailynews.com/new-york/cynthia-nixon-challenge-gov-cuomo-democratic-primary-article-1.3884060,Cynthia Nixon officially announces she will challenge Gov. Cuomo in Democratic primary,https://pbs.twimg.com/media/DYsex2XX4AI9cWO.jpg
2018-03-21,HOLY HELL,https://twitter.com/NYDailyNews/status/976259078413529088,http://www.nydailynews.com/news/politics/dolan-urges-pols-reject-lookback-window-child-abuse-cases-article-1.3886210,Timothy Cardinal Dolan urges state pols to reject 'toxic' lookback window in child abuse cases,https://pbs.twimg.com/media/DYxd14qV4AEvOX8.jpg
2018-03-22,What rocket scientist decided this?,https://twitter.com/NYDailyNews/status/976622203755204608,http://www.nydailynews.com/new-york/education/teacher-accidentally-burns-2-kids-plum-job-big-raise-article-1.3888887,Science teacher behind disastrous experiment that burned students gets job teaching educators with big raise,https://pbs.twimg.com/media/DY2oqXaVAAAw5Pi.jpg
2018-03-23,MAYOR TOLD ME TO BREAK LAW,https://twitter.com/NYDailyNews/status/976999811298811905,http://www.nydailynews.com/news/politics/de-blasio-donor-turned-blind-eye-illegal-contributions-article-1.3890675,De Blasio donor Harendra Singh testifies the mayor told him ‘do what you’ve got to do’ with illegal contributions,https://pbs.twimg.com/media/DY8AI-aXcAE34Um.jpg
2018-03-24,He lost his life saving our lives',https://twitter.com/NYDailyNews/status/977357931330064384,http://www.nydailynews.com/new-york/harlem-fire-unknown-marshals-wait-enter-building-article-1.3892041,Cause of Harlem blaze that killed FDNY firefighter remains unclear as marshals wait to enter building,https://pbs.twimg.com/media/DZBFAEtVoAA8_T2.jpg
2018-03-25,,,,,
2018-03-26,ASS CLOWN,https://twitter.com/NYDailyNews/status/978088521234776065,http://www.nydailynews.com/news/politics/stormy-daniels-spanked-trump-sex-article-1.3895497,Stormy Daniels reveals tryst with Trump that started with her spanking him with magazine and ended with sex,https://pbs.twimg.com/media/DZLeN2WXkAUlOPf.jpg
2018-03-27,I'm gonna git you Zucker!,https://twitter.com/NYDailyNews/status/978441598177566721,http://www.nydailynews.com/news/national/group-ags-answers-facebook-regulators-swoop-article-1.3896822,37 state attorneys general demand answers from Facebook over data misuse as feds probe ‘unfair acts’,https://pbs.twimg.com/media/DZQfS3RW0AIJ1mX.jpg
2018-03-28,DUMP TRUMP!,https://twitter.com/NYDailyNews/status/978810581678510080,http://www.nydailynews.com/opinion/melania-don-repeat-hillary-mistake-leave-donald-article-1.3899011,"Melania, don't repeat Hillary's mistake: Leave Donald, and set the right example for a generation of girls",https://pbs.twimg.com/media/DZVtKivX4AA9pxM.jpg
2018-03-29,HAVEN AND HELL,https://twitter.com/NYDailyNews/status/979174047882907648,http://www.nydailynews.com/new-york/manhattan/desperate-mom-seeks-refuge-church-avoid-deportation-article-1.3902124,Desperate mom seeks refuge in Manhattan church to avoid deportation,https://pbs.twimg.com/media/DZa5OroW4AArhSo.jpg
2018-03-30,SHOT 8 TIMES FROM BEHIND,https://twitter.com/NYDailyNews/status/979891273162207233,http://www.nydailynews.com/news/national/independent-autopsy-shows-cops-shot-stephon-clark-times-article-1.3905839,Independent autopsy reveals Stephon Clark was 'shot repeatedly in the back' by Sacramento officers,https://pbs.twimg.com/media/DZlF5DGXkAA_I7a.jpg:large
2018-03-31,"NO JUSTICE, NO PEEPS",https://twitter.com/NYDailyNews/status/980246854846775296,http://www.nydailynews.com/news/national/not-peep-pennsylvania-candy-company-pension-funds-article-1.3907593,Not a peep from Pennsylvania candy company over pension funds,https://pbs.twimg.com/media/DZqJAfOU8AALGal.jpg
2018-04-01,APRIL FOOL,https://twitter.com/NYDailyNews/status/980612560297840640,http://www.nydailynews.com/news/politics/trump-announces-no-daca-deal-article-1.3908516?utm_content=buffer3037b&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,Trump announces ‘NO MORE DACA DEAL’ in Easter Twitter rant attacking immigration laws,https://pbs.twimg.com/media/DZvVqVDVoAAnFyN.jpg:large
2018-04-02,Sex crimes boss gave cash to 'pu$$y grabber',https://twitter.com/NYDailyNews/status/980986310251962368,http://www.nydailynews.com/new-york/nypd-sex-crimes-donated-trump-p-video-scandal-article-1.3911144?utm_content=buffer9d0e0&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,NYPD sex crimes chief donated thousands to Trump after video scandal on grabbing women ‘by the p---y',https://pbs.twimg.com/media/DZ0ppbKW4AEmWM4.jpg:large
2018-04-03,50 YEARS LATER WHAT WOULD HE THINK?,https://twitter.com/NYDailyNews/status/981331190912311297,http://www.nydailynews.com/news/national/martin-luther-king-jr-america-today-article-1.3912985?utm_content=buffera497c&utm_medium=social&utm_source=twitter.com&utm_campaign=NYDailyNewsTw,What Martin Luther King Jr. would say if he saw America today,https://pbs.twimg.com/media/DZ5i3ebXkAALGJZ.jpg:large
2018-04-04,NYPD SHOOT RAGE IN B'KLYN,https://twitter.com/NYDailyNews/status/981710912431316992,http://www.nydailynews.com/new-york/brooklyn/nypd-cops-shoot-kill-bipolar-black-man-metal-pipe-nyc-article-1.3914960?utm_content=bufferde192&utm_medium=social&barcprox=true&utm_campaign=NYDailyNewsTw&utm_source=twitter.com,NYPD cops fatally shoot bipolar black man holding metal pipe police mistake for gun on Brooklyn street,https://pbs.twimg.com/media/DZ-8xQGW0AM6k6M.jpg:large
