player,team,salary-2018,current-as-of,sport
Dylan Donahue,Jets,555000,,football
Elijah McGuire,Jets,555000,,football
Jeremy Clark,Jets,555000,,football
Derrick Jones,Jets,555000,,football
Benjamin Braden,Jets,555000,,football
Thomas Hennessy,Jets,555000,,football
Nick Rose,Jets,555000,,football
Lawrence Thomas,Jets,555000,,football
Parry Nickerson,Jets,555000,,football
Jonathan Holder,Yankees,553850,,baseball
Paul Sewald,Mets,553250,,baseball
Tyler Wade,Yankees,551300,,baseball
Avery Moss,Giants,550000,,football
Chad Wheeler,Giants,550000,,football
Calvin Munson,Giants,550000,,football
Marquis Bundy,Giants,550000,,football
Kyle Carter,Giants,550000,,football
Donte Deayon,Giants,550000,,football
Curtis Grant,Giants,550000,,football
Jon Halapio,Giants,550000,,football
Aldrick Rosas,Giants,550000,,football
Hunter Sharp,Giants,550000,,football
Shane Smith,Giants,550000,,football
Kristjan Sokoli,Giants,550000,,football
Alex Tanney,Giants,550000,,football
Jordan Williams,Giants,550000,,football
Amed Rosario,Mets,548940,,baseball
Jacob Rhame,Mets,545650,,baseball
Sean Chandler,Giants,480000,,football
Josh Banks,Giants,480000,,football
Adam Bisnowaty,Giants,480000,,football
Ethan Cooper,Giants,480000,,football
Amba Etta-Tawo,Giants,480000,,football
Laurence Gibson,Giants,480000,,football
Keeon Johnson,Giants,480000,,football
Marshall Koehn,Giants,480000,,football
Derrick Mathews,Giants,480000,,football
Jeremiah McKinnon,Giants,480000,,football
Tim Scott,Giants,480000,,football
Jalen Simmons,Giants,480000,,football
Orion Stewart,Giants,480000,,football
Foley Fatukasi,Jets,480000,,football
Trenton Cannon,Jets,480000,,football
Bucky Hodges,Jets,480000,,football
Tre Williams,Jets,480000,,football
Taylor Bertolet,Jets,480000,,football
Xavier Coleman,Jets,480000,,football
Dimitri Flowers,Jets,480000,,football
Reggie Flowers,Jets,480000,,football
Austin Golson,Jets,480000,,football
Lord Hyeamang,Jets,480000,,football
Kacy Rodgers,Jets,480000,,football
Dakota Shepley,Jets,480000,,football
Mychealon Thomas,Jets,480000,,football
Luis Robles,Red Bulls,460000,,soccer
Aurelien Collin,Red Bulls,450000,,soccer
Carlos Rivas,Red Bulls,444996,,soccer
Anton Tinnerholm,NYCFC,434925,,soccer
Alexander Ring,NYCFC,411667,,soccer
Maxime Chanot,NYCFC,408000,,soccer
Ronald Wallace,NYCFC,300000,,soccer
Sean Davis,Red Bulls,261667,,soccer
Cedric Hountondji,NYCFC,258333,,soccer
Kemar Lawrence,Red Bulls,255600,,soccer
Sean Johnson,NYCFC,250008,,soccer
Yangel Herrera,NYCFC,200000,,soccer
Thomas McNamara,NYCFC,200000,,soccer
Tyler Adams,Red Bulls,153542,,soccer
Tommy Redding,Red Bulls,147500,,soccer
Fidel Escobar,Red Bulls,145000,,soccer
Jonathan Lewis,NYCFC,125500,,soccer
Ryan Meara,Red Bulls,125000,,soccer
Connor Lade,Red Bulls,120750,,soccer
Saad Abdul-Salaam,NYCFC,120230,,soccer
Tim Parker,Red Bulls,115935,,soccer
Tina Charles,Liberty,115500,,basketball
Alex Muyl,Red Bulls,114000,,soccer
Ausitn Romine,Yankees,110000,,baseball
Cristian Casseres Jr.,Red Bulls,108750,,soccer
Epiphanny Prince,Liberty,107000,,basketball
Sugar Rodgers,Liberty,106000,,basketball
Shavonte Zellous,Liberty,106000,,basketball
Oliver Perez,Yankees,100000,,baseball
Micahel Murillo,Red Bulls,88754,,soccer
Brad Stuver,NYCFC,85000,,soccer
Joe Scally,NYCFC,76317,,soccer
James Sands,NYCFC,75333,,soccer
Derrick Etienne,Red Bulls,73500,,soccer
Aaron Long,Red Bulls,73125,,soccer
Florian Valot,Red Bulls,71136,,soccer
Stephen Bonomo,Red Bulls,69922,,soccer
Vincent Bezecourt,Red Bulls,69921,,soccer
Anatole Abang,Red Bulls,68927,,soccer
Andre Rawls,NYCFC,68915,,soccer
Sebastien Ibeagha,NYCFC,67500,,soccer
Ben Sweat,NYCFC,67500,,soccer
Amanda Zauhi B,Liberty,"63,297",,basketball
Ben Mines,Red Bulls,60518,,soccer
Kevin Politz,Red Bulls,57106,,soccer
Evan Louro,Red Bulls,55654,,soccer
Kwame Awuah,NYCFC,55654,,soccer
Hassan Ndam Fouapon,Red Bulls,54504,,soccer
Kyle Duncan,Red Bulls,54500,,soccer
Jeff Caldwell,NYCFC,54500,,soccer
Brittany Boyd,Liberty,"52,265",,basketball
Kiah Stokes,Liberty,52265,,basketball
Lindsay Allen,Liberty,41843,,basketball
